precinct,asian,black,hispanic,others,white,total,pct_asian,pct_black,pct_hispanic,pct_others,pct_white
matagorda:1B,86,870,2491,4,2568,6019,1.43%,14.45%,41.39%,0.07%,42.66%
matagorda:1C,17,890,388,0,294,1581,1.08%,56.29%,24.54%,0.00%,18.60%
matagorda:1D,24,376,2312,0,746,3453,0.70%,10.89%,66.96%,0.00%,21.60%
matagorda:1E,49,862,1468,0,965,3332,1.47%,25.87%,44.06%,0.00%,28.96%
matagorda:1F,26,115,1151,14,442,1748,1.49%,6.58%,65.85%,0.80%,25.29%
matagorda:3A,444,153,2642,0,1010,4248,10.45%,3.60%,62.19%,0.00%,23.78%
matagorda:3B,57,40,550,6,608,1261,4.52%,3.17%,43.62%,0.48%,48.22%
victoria:1,6,94,773,0,186,1053,0.57%,8.93%,73.41%,0.00%,17.66%
victoria:2,15,122,807,13,631,1588,0.94%,7.68%,50.82%,0.82%,39.74%
victoria:3,15,97,874,8,821,1815,0.83%,5.34%,48.15%,0.44%,45.23%
victoria:4,26,366,2591,0,438,3389,0.77%,10.80%,76.45%,0.00%,12.92%
victoria:5,68,486,3281,28,1178,5041,1.35%,9.64%,65.09%,0.56%,23.37%
victoria:6,27,157,600,0,117,883,3.06%,17.78%,67.95%,0.00%,13.25%
victoria:7,35,584,2673,0,488,3708,0.94%,15.75%,72.09%,0.00%,13.16%
victoria:8,47,465,2993,0,1105,4589,1.02%,10.13%,65.22%,0.00%,24.08%
victoria:9,59,193,1225,5,856,2338,2.52%,8.25%,52.40%,0.21%,36.61%
victoria:10,85,241,1117,12,1253,2708,3.14%,8.90%,41.25%,0.44%,46.27%
victoria:11,4,20,152,11,334,521,0.77%,3.84%,29.17%,2.11%,64.11%
victoria:12,13,36,611,18,382,1060,1.23%,3.40%,57.64%,1.70%,36.04%
victoria:13,9,119,1789,5,462,2384,0.38%,4.99%,75.04%,0.21%,19.38%
victoria:14,4,104,925,0,1115,2148,0.19%,4.84%,43.06%,0.00%,51.91%
victoria:15,2,7,66,5,93,173,1.16%,4.05%,38.15%,2.89%,53.76%
victoria:16,7,33,165,27,434,666,1.05%,4.95%,24.77%,4.05%,65.17%
victoria:17,17,228,857,0,487,1576,1.08%,14.47%,54.38%,0.00%,30.90%
victoria:18,29,208,2055,100,3501,5893,0.49%,3.53%,34.87%,1.70%,59.41%
victoria:19,215,435,2584,0,1764,4993,4.31%,8.71%,51.75%,0.00%,35.33%
victoria:20,8,49,562,28,1242,1889,0.42%,2.59%,29.75%,1.48%,65.75%
victoria:21,214,214,1766,101,3554,5849,3.66%,3.66%,30.19%,1.73%,60.76%
victoria:22,9,38,289,51,1650,2037,0.44%,1.87%,14.19%,2.50%,81.00%
victoria:23,12,75,666,36,1510,2299,0.52%,3.26%,28.97%,1.57%,65.68%
victoria:24,8,60,427,29,1400,1924,0.42%,3.12%,22.19%,1.51%,72.77%
victoria:25,278,654,2774,6,3304,7016,3.96%,9.32%,39.54%,0.09%,47.09%
victoria:26,10,58,672,39,901,1680,0.60%,3.45%,40.00%,2.32%,53.63%
victoria:27,16,29,401,62,1876,2384,0.67%,1.22%,16.82%,2.60%,78.69%
victoria:28,5,11,213,21,477,727,0.69%,1.51%,29.30%,2.89%,65.61%
victoria:29,152,196,1032,66,2017,3463,4.39%,5.66%,29.80%,1.91%,58.24%
victoria:30,10,52,434,11,313,820,1.22%,6.34%,52.93%,1.34%,38.17%
victoria:31,35,228,906,0,580,1732,2.02%,13.16%,52.31%,0.00%,33.49%
victoria:32,64,356,1987,0,528,2891,2.21%,12.31%,68.73%,0.00%,18.26%
victoria:33,242,373,1909,24,3955,6503,3.72%,5.74%,29.36%,0.37%,60.82%
victoria:34,5,332,1700,0,237,2266,0.22%,14.65%,75.02%,0.00%,10.46%
victoria:35,7,123,1055,0,141,1313,0.53%,9.37%,80.35%,0.00%,10.74%
