COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Dem Cesar Avila,Rep Sammy Knapp,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,144,PCT 144,2956,2072,1,0,0,0,0,Dem Cesar Avila,Dem
COLL,145,PCT 145,1780,1237,1,533,582,0,122,Rep Sammy Knapp,Rep
COLL,146,PCT 146,4860,3233,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,147,PCT 147,2281,1409,0,602,662,0,145,Rep Sammy Knapp,Rep
COLL,148,PCT 148,1133,851,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,149,PCT 149,4656,3337,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,150,PCT 150,2024,1621,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,151,PCT 151,1856,1296,0,564,600,0,132,Rep Sammy Knapp,Rep
COLL,152,PCT 152,231,119,0,66,42,0,11,Dem Cesar Avila,Dem
COLL,153,PCT 153,1225,860,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,154,PCT 154,2771,2102,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,155,PCT 155,3016,2129,1,0,0,0,0,Dem Cesar Avila,Dem
COLL,156,PCT 156,3797,2569,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,157,PCT 157,4358,3111,1,0,0,0,0,Dem Cesar Avila,Dem
COLL,158,PCT 158,2851,1955,0,869,890,0,196,Rep Sammy Knapp,Rep
COLL,159,PCT 159,3385,2049,1,853,964,0,232,Rep Sammy Knapp,Rep
COLL,160,PCT 160,530,430,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,161,PCT 161,298,192,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,162,PCT 162,687,558,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,163,PCT 163,2188,1474,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,164,PCT 164,2330,1845,80,643,975,0,227,Rep Sammy Knapp,Rep
COLL,165,PCT 165,972,736,0,211,456,0,69,Rep Sammy Knapp,Rep
COLL,166,PCT 166,4384,3051,0,1171,1550,0,330,Rep Sammy Knapp,Rep
COLL,167,PCT 167,2192,1501,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,168,PCT 168,1966,1418,0,357,954,0,107,Rep Sammy Knapp,Rep
COLL,169,PCT 169,3534,2485,2,0,0,0,0,Dem Cesar Avila,Dem
COLL,170,PCT 170,1921,1364,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,171,PCT 171,2980,1965,0,814,913,0,238,Rep Sammy Knapp,Rep
COLL,172,PCT 172,2941,2202,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,173,PCT 173,645,492,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,174,PCT 174,4648,2951,2,0,0,0,0,Dem Cesar Avila,Dem
COLL,175,PCT 175,2083,1492,1,505,881,0,106,Rep Sammy Knapp,Rep
COLL,176,PCT 176,4064,2194,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,177,PCT 177,3532,2228,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,178,PCT 178,3375,2404,1,0,0,0,0,Dem Cesar Avila,Dem
COLL,179,PCT 179,4704,3766,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,180,PCT 180,3492,2359,1,0,0,0,0,Dem Cesar Avila,Dem
COLL,181,PCT 181,3166,2049,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,182,PCT 182,4037,2765,1,1080,1417,0,268,Rep Sammy Knapp,Rep
COLL,183,PCT 183,171,120,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,184,PCT 184,3360,1910,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,185,PCT 185,3352,2450,1,0,0,0,0,Dem Cesar Avila,Dem
COLL,186,PCT 186,764,536,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,187,PCT 187,1044,697,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,188,PCT 188,731,488,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,189,PCT 189,1473,1016,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,190,PCT 190,1038,802,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,191,PCT 191,967,582,1,0,0,0,0,Dem Cesar Avila,Dem
COLL,192,PCT 192,4114,2896,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,193,PCT 193,1341,896,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,194,PCT 194,3375,2400,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,195,PCT 195,935,674,0,135,487,0,52,Rep Sammy Knapp,Rep
COLL,196,PCT 196,2001,1352,0,509,749,0,94,Rep Sammy Knapp,Rep
COLL,197,PCT 197,1270,858,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,198,PCT 198,2904,2327,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,199,PCT 199,4135,3196,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,200,PCT 200,2726,1894,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,201,PCT 201,0,0,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,202,PCT 202,2,2,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,203,PCT 203,3182,2344,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,204,PCT 204,354,282,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,205,PCT 205,4103,2879,2,0,0,0,0,Dem Cesar Avila,Dem
COLL,206,PCT 206,2002,1431,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,207,PCT 207,4081,2925,1,0,0,0,0,Dem Cesar Avila,Dem
COLL,208,PCT 208,4359,3323,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,209,PCT 209,172,125,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,210,PCT 210,1746,1290,0,580,557,0,153,Dem Cesar Avila,Dem
COLL,211,PCT 211,3433,2455,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,212,PCT 212,2600,1945,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,213,PCT 213,3697,2611,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,214,PCT 214,3776,2920,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,215,PCT 215,3503,2092,1,0,0,0,0,Dem Cesar Avila,Dem
COLL,216,PCT 216,4771,3565,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,217,PCT 217,3140,2190,1,0,0,0,0,Dem Cesar Avila,Dem
COLL,218,PCT 218,4297,3093,1,0,0,0,0,Dem Cesar Avila,Dem
COLL,219,PCT 219,4559,3137,1,1319,1530,0,288,Rep Sammy Knapp,Rep
COLL,220,PCT 220,2465,1745,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,221,PCT 221,2053,1470,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,222,PCT 222,3965,2870,1,0,0,0,0,Dem Cesar Avila,Dem
COLL,223,PCT 223,2501,1839,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,224,PCT 224,3351,2568,1,0,0,0,0,Dem Cesar Avila,Dem
COLL,225,PCT 225,3945,2807,2,0,0,0,0,Dem Cesar Avila,Dem
COLL,226,PCT 226,4404,2945,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,227,PCT 227,4468,3160,0,1188,1674,0,298,Rep Sammy Knapp,Rep
COLL,228,PCT 228,4845,3037,1,0,0,0,0,Dem Cesar Avila,Dem
COLL,229,PCT 229,2259,1494,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,230,PCT 230,4953,3021,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,231,PCT 231,3938,2850,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,232,PCT 232,3850,2755,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,233,PCT 233,2089,1443,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,234,PCT 234,3351,2585,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,235,PCT 235,1916,1332,3,0,0,0,0,Dem Cesar Avila,Dem
COLL,236,PCT 236,3015,2217,1,0,0,0,0,Dem Cesar Avila,Dem
COLL,237,PCT 237,2345,1522,3,626,754,0,142,Rep Sammy Knapp,Rep
COLL,238,PCT 238,4043,2583,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,239,PCT 239,4293,3051,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,240,PCT 240,4358,3212,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,241,PCT 241,1549,1115,0,437,569,0,109,Rep Sammy Knapp,Rep
COLL,242,PCT 242,3578,2604,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,243,PCT 243,1684,1272,0,321,882,0,69,Rep Sammy Knapp,Rep
COLL,244,PCT 244,3235,2337,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,245,PCT 245,2764,1651,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,246,PCT 246,2859,2137,1,823,1140,0,174,Rep Sammy Knapp,Rep
COLL,247,PCT 247,2436,1876,0,445,1310,0,121,Rep Sammy Knapp,Rep
COLL,248,PCT 248,2328,1645,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,249,PCT 249,4743,3053,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,250,PCT 250,3886,3025,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,251,PCT 251,2568,1852,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,252,PCT 252,3149,2338,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,253,PCT 253,3111,2203,1,0,0,0,0,Dem Cesar Avila,Dem
COLL,254,PCT 254,1286,806,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,255,PCT 255,3292,2440,1,718,1566,0,156,Rep Sammy Knapp,Rep
COLL,256,PCT 256,767,540,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,257,PCT 257,1342,890,1,0,0,0,0,Dem Cesar Avila,Dem
COLL,258,PCT 258,3045,2073,1,0,0,0,0,Dem Cesar Avila,Dem
COLL,259,PCT 259,3698,2420,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,260,PCT 260,438,319,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,261,PCT 261,3221,2306,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,262,PCT 262,3038,2081,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,263,PCT 263,2055,1544,1,0,0,0,0,Dem Cesar Avila,Dem
COLL,264,PCT 264,3994,2746,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,265,PCT 265,0,0,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,266,PCT 266,62,42,0,20,19,0,3,Dem Cesar Avila,Dem
COLL,267,PCT 267,19,13,0,7,5,0,1,Dem Cesar Avila,Dem
COLL,268,PCT 268,0,0,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,269,PCT 269,0,0,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,270,PCT 270,2,1,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,271,PCT 271,1035,750,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,272,PCT 272,1,1,0,0,0,0,0,Dem Cesar Avila,Dem
COLL,273,PCT 273,260,202,0,0,0,0,0,Dem Cesar Avila,Dem
